# Export Timestamp: 2025-11-16T16:39:27.542283
# Parameter: probe_detuning
# Fixed Parameters:
#   pump_intensity: 1000.0
#   probe_intensity: 100.0
#   number_density: 1e+17
#   interaction_length: 0.01
# Metadata:
#   units: rad/s
#
probe_detuning,chi3_real,chi3_imag,chi3_magnitude,chi3_phase,fwm_intensity
-1597419.9933507442,-1.18395659522568e-11,-1.412203694175269e-10,1.4171580032007936e-10,-1.6544382501276615,5.330966830059676e-19
1597419.9933507442,1.1839565952256802e-11,-1.4122036941752694e-10,1.417158003200794e-10,-1.4871544034621318,5.33096683005968e-19
4792259.980052218,3.364031115129376e-11,-1.3375200823136922e-10,1.3791762121019966e-10,-1.324394577087454,5.049041595601462e-19
7987099.966753706,5.0704252511095205e-11,-1.2095837464871843e-10,1.3115582190802144e-10,-1.1738591047044045,4.566091178842504e-19
11181939.953455195,6.20789931422573e-11,-1.0578112624314116e-10,1.2265173483821496e-10,-1.040092643029585,3.9931610260931165e-19
14376779.940156668,6.837646798547896e-11,-9.062034600586625e-11,1.1352263423825289e-10,-0.9243974060588441,3.420852534789127e-19
17571619.926858157,7.087397419501331e-11,-7.685208653355335e-11,1.045435957998202e-10,-0.8258436488711537,2.901110695440521e-19
20766459.913559645,7.0843886253467e-11,-6.500108214745994e-11,9.614570661155394e-11,-0.7424138317703106,2.4537438492430867e-19
23961299.900261134,6.927918611645586e-11,-5.509003903107108e-11,8.851281279794166e-11,-0.6718004453391441,2.079609138204703e-19
27156139.886962608,6.686474742469845e-11,-4.6914797832778395e-11,8.168165463468027e-11,-0.6118239481935469,1.7709996944283382e-19
30350979.873664096,6.403988689044314e-11,-4.020300513235392e-11,7.561341636649429e-11,-0.5605964225491762,1.517634373237224e-19
33545819.860365584,6.107282833856042e-11,-3.4688881791315514e-11,7.0236805744589e-11,-0.516551681120426,1.3094802043366768e-19
36740659.84706706,5.812049286796505e-11,-3.0141371833925044e-11,6.547132186878547e-11,-0.47841778756555353,1.1378149917175267e-19
39935499.83376855,5.527016250171447e-11,-2.6370131465068005e-11,6.123866994351603e-11,-0.4451712139397316,9.954533947504553e-20
43130339.820470035,5.2566634277499115e-11,-2.3222446390973952e-11,5.7467669655607264e-11,-0.41599015827297836,8.766305592722557e-20
46325179.80717152,5.00293152216779e-11,-2.0577287370516226e-11,5.4095814413675473e-11,-0.39021357387191974,7.767777189457869e-20
49520019.79387301,4.7662782058060056e-11,-1.8339152277146153e-11,5.106922066919062e-11,-0.3673074872946654,6.922897375507489e-20
52714859.7805745,4.5463228868319865e-11,-1.6432661113227516e-11,4.8341881742391994e-11,-0.3468381805026572,6.203210746831192e-20
55909699.76727596,4.342236833040005e-11,-1.4798136353817818e-11,4.5874687039445985e-11,-0.32845116837116894,5.586189469287151e-20
59104539.75397745,4.1529768214741515e-11,-1.3388112260470301e-11,4.363442675077913e-11,-0.31185482730214026,5.053915569833123e-20
62299379.740678936,3.977423006065169e-11,-1.2164625310900259e-11,4.159287782628468e-11,-0.2968076631447691,4.592058093318174e-20
65494219.727380425,3.814458311287157e-11,-1.1097127559507645e-11,3.972600484477078e-11,-0.2831083917112386,4.1890854111683246e-20
68689059.71408191,3.663012253582363e-11,-1.016088364155539e-11,3.8013279697583084e-11,-0.270588181985092,3.835660102055011e-20
71883899.7007834,3.522083257472461e-11,-9.335738240278951e-12,3.643711096873336e-11,-0.25910456109138785,3.5241736796412875e-20
75078739.68748489,3.3907481156466004e-11,-8.60516561675462e-12,3.4982369183173876e-11,-0.2485365986074024,3.2483877969799094e-20
78273579.67418635,3.268163912701824e-11,-7.955533562596312e-12,3.363599337457192e-11,-0.23878107934638762,3.0031563939786595e-20
81468419.66088784,3.153565679287398e-11,-7.375530554560826e-12,3.23866654708261e-11,-0.22974944340978748,2.7842094524060615e-20
84663259.64758933,3.0462617735347514e-11,-6.855717495174893e-12,3.122454069579817e-11,-0.22136532492475242,2.5879837812194e-20
87858099.63429081,2.9456281991565175e-11,-6.388174949364683e-12,3.014102400301452e-11,-0.21356256053125286,2.4114898509431807e-20
91052939.6209923,2.851102580658729e-11,-5.966223929532259e-12,2.9128584251920134e-11,-0.2062835685674281,2.2522063920544706e-20
94247779.60769379,2.7621782128049044e-11,-5.584203620220583e-12,2.818059931941644e-11,-0.19947802247888827,2.1079964876511946e-20
